BG,res://assets/backgrounds/classroom_blurred.png,,,
CHAR,Maya,0.5,0.5,res://assets/characters/maya_normal.png
COVER,FALSE,,,
C_ZOOM,1.5,0.3,,
C_MOVE,0.5,0.4,0.3,
WAIT,0.5,,,
SAY,Maya,"Finally, let’s learn about STIs, and how we can protect ourselves against them.",res://assets/characters/maya_happy.png,
SAY,Maya,"So, what are STIs?",res://assets/characters/maya_normal.png,
SAY,Maya,They stand for sexually transmitted infections.,res://assets/characters/maya_normal.png,
SAY,Maya,"As the name suggests, these diseases are spead through sexual intercourse.",res://assets/characters/maya_happy.png,
SAY,Maya,"You may know some common ones like HIV, which stands for Human Immunodeficiency Virus.",res://assets/characters/maya_normal.png,
SAY,Maya,"It's a virus that can eventually lead to a disease called AIDS, which weakens the immune system so much that you become less protected from other diseases.",res://assets/characters/maya_surprised.png,
SAY,Maya,"However, they are mostly transmitted through sexual contact, and casual contact such as shaking hands should not be able to spread it.",res://assets/characters/maya_normal.png,
SAY,Maya,"More examples of these diseases include herpes, syphilis, and, chlamydia, which can all be harmful if left untreated.",res://assets/characters/maya_sad.png,
SAY,Maya,"So, how do we protect ourselves from these?",res://assets/characters/maya_surprised.png,
SAY,Maya,"The best way to avoid teenage pregnancy and STIs is abstinence, which means having no sexual intercourse.",res://assets/characters/maya_sad.png,
SAY,Maya,"There are other options as well, though, which may be useful when you're all older.",res://assets/characters/maya_surprised.png,
SAY,Maya,"These include contraceptives, which are devices used to either reduce or block the chance of pregnancy.",res://assets/characters/maya_sad.png,
SAY,Maya,"One example is the use of contraceptive pills, which affect ",res://assets/characters/maya_surprised.png,
SAY,Maya,"Another thing you can use are condoms, which blocks sperm from entering the body.",res://assets/characters/maya_normal.png,
SAY,Maya,"I guess you're all a bit too young for that, but these options are still nice to know just in case.",res://assets/characters/maya_normal.png,
SAY,Maya,"Lastly, if you suspect anything wrong, it might be worth to get yourself checked by a doctor just to make sure!",res://assets/characters/maya_happy.png,
SAY,Maya,"Anyway, there's just one last activity that you need to do, so let's get ready!",res://assets/characters/maya_happy.png,
SCENE,res://scenes/mingames/3/minigame_3.tscn,,,
