SAY,???,Hmm...,,
CHAR,Magenta,,,
CHAR,Navy,,,
WAIT,3,,,
SAY,Magenta,Hello world!,,
SAY,Magenta,Demonstration!,res://assets/characters/magenta_hurt_down.png,
SAY,Magenta,The quick brown fox jumps over the lazy dog.,res://assets/characters/magenta_down.png,
CHAR_MOVE,Navy,512,0,0.7
SAY,Navy,Shut up with these weird dialogue demonstrations.,res://assets/characters/navy_down.png,
SAY,Magenta,Not sure what they meant by that.,,
SAY,Magenta,"Have you ever tried stand-up comedy, Navy?",,
SAY,Navy,I have no interest in such frivolous matters.,,
C_ZOOM,2,0.3,,
SAY,Magenta,Oh well. Does the zooming work?,,
C_MOVE,100,0,0.5,
SAY,Magenta,"The camera has moved as well. Check the alignment, please.",,
C_MOVE_R,960,540,1,
SAY,Magenta,"It’s a bit off-center, don’t you think?",,
SAY,Magenta,Let’s try to fix that.,,
C_MOVE_R,-480,0,1,
SAY,Magenta,Still a bit more...,,
C_MOVE_R,-120,0,1,
SAY,Magenta,"More to the left, just a little...",,
C_MOVE_R,-60,0,1,
SAY,Magenta,"Alright, fine, that works. We don’t really need to be incredibly precise.",,
C_MAZ,192,128,4,2
SAY,Magenta,"Yeah, I just said that works. It’s way too close to my face already!",res://assets/characters/magenta_hurt_down.png,
C_ZOOM,2,2,,
C_MOVE_R,384,128,2,
SAY,Magenta,"Cool. Please, don’t touch the camera anymore.",res://assets/characters/magenta_down.png,
SAY,Magenta,Just step from it away slowly... it’s already good as it is. Thanks!,,
SAY,Magenta,"Anyway... Sat is a huge Formula 1 fan, you know?",,
SAY,Magenta,I know there’s an image of the Silverstone circuit in the game files.,,
SAY,Navy,...interesting.,,
SAY,Magenta,I guess so! I’ll pull it up.,,
BG,res://assets/backgrounds/silverstone.png,,,
WAIT,3,,,
SAY,Sat,"Alright, new rule: No more rummaging through the development files.",,
BG,NULL,,,
SAY,Magenta,Aww...,res://assets/characters/magenta_hurt_down.png,
SAY,Navy,Eh.,,
SAY,Magenta,Oh well.,res://assets/characters/magenta_down.png,
