BG,res://assets/backgrounds/test_bg.png,,,
CHAR,Maya,0.3,0.5,res://assets/characters/maya_normal.png
CHAR,Nino,0.5,0.5,res://assets/characters/nino_normal.png
CHAR,Olive,0.7,0.5,res://assets/characters/olive_normal.png
COVER,FALSE,,,
ADD_SCENE,,,,
C_ZOOM,1.5,0.3,,
C_MOVE,0.5,0.4,0.3,
WAIT,0.5,,,
SAY,Maya,"Okay, so, so my mom told me to clean my room, right?",res://assets/characters/maya_normal.png,
SAY,Maya,"And I was like, “Hey, in a minute, in a minute”,",res://assets/characters/maya_happy.png,
SAY,Maya,"and basically, I come back down and my room is already cleaned.",res://assets/characters/maya_normal.png,
SAY,Maya,"And I’m like, “Oh my god, thank you mom I love you so much,”",res://assets/characters/maya_happy.png,
SAY,Maya,"and then, I have this thing over here, where like it opens up.",res://assets/characters/maya_normal.png,
SAY,Maya,"That’s where I would keep all my yaoi, and as you can see, as you can see it’s empty now.",res://assets/characters/maya_surprised.png,
SAY,Maya,"Because my mom went through it, and she got rid of all my yaoi.",res://assets/characters/maya_sad.png,
SAY,Maya,"But, she didn’t say anything about it.",res://assets/characters/maya_surprised.png,
SAY,Maya,"Because now I don’t even know what I’m gonna do now,",res://assets/characters/maya_sad.png,
SAY,Maya,"because i read it to myself every night, and every day when I got back from school.",res://assets/characters/maya_surprised.png,
SAY,Maya,"Sometimes it was wholesome, sometimes it was toxic, depending on the mood I was in.",res://assets/characters/maya_sad.png,
SAY,Maya,"And now I don’t know what to do because it’s been part of my routine since I was in like, middle school, okay?",res://assets/characters/maya_surprised.png,
SAY,Maya,"And, and now I don’t wanna cry because I spent so long doing my eyeliner.",res://assets/characters/maya_sad.png,
SAY,Maya,"And I don’t know what to do now because, my yaoi was so expensive.",res://assets/characters/maya_surprised.png,
SAY,Maya,"And even worse I had YURI in there too, because I need like an even balance of things, and the yuri’s gone too.",res://assets/characters/maya_sad.png,
SAY,Maya,And now I don’t know what to do because now I have no yaoi and I have no yuri and I have no money.,res://assets/characters/maya_surprised.png,
SAY,Maya,"Because it was so expensive, and I’ve been saving up for so long to buy it.",res://assets/characters/maya_sad.png,
SAY,Maya,Because this was completely filled to the brim.,res://assets/characters/maya_surprised.png,
SAY,Maya,I HAD. A YAOI HAVEN...,res://assets/characters/maya_sad.png,
SAY,Maya,"I, I don't know my brain is MUSHED now!",res://assets/characters/maya_surprised.png,
SAY,Nino,what,,
SAY,Olive,wut,,
